track_name,isrc,language,publishing_company,arranger,producer,interpreter,date,duration,apple_itunes,apple_music,deezer,amazon_music,google_play_music,Juke,microsoft,musicload,napster,qobuz,spotify,tidal,vimeo,youtube,amazon_books,apple_books,google_play_books,music_notes,notafina,note_download,sheet_music_plus,music_image
Nicht für Kuchen oder Torte,,,,,,,,,,,,http://goodmusic.online/medien_title/nicht-fuer-kuchen-oder-torte/,http://goodmusic.online/medien_title/nicht-fuer-kuchen-oder-torte/,,,,,,,,,,,,,,,,,
Bazazz [Bazazz Beat],,,,,,,,,,,,http://goodmusic.online/medien_title/bazazz-bazazz-beat/,http://goodmusic.online/medien_title/bazazz-bazazz-beat/,,,,,,,,,,,,,,,,,
Main Theme from 'Django',,,,,,,,,,,,http://goodmusic.online/medien_title/main-theme-from-django/,http://goodmusic.online/medien_title/main-theme-from-django/,,,,,,,,,,,,,,,,,
New Sheriff in Old Silver City,,,,,,,,,,,,http://goodmusic.online/medien_title/new-sheriff-in-old-silver-city/,http://goodmusic.online/medien_title/new-sheriff-in-old-silver-city/,,,,,,,,,,,,,,,,,
Fat Man,,,,,,,,,,,,http://goodmusic.online/medien_title/fat-man/,http://goodmusic.online/medien_title/fat-man/,,,,,,,,,,,,,,,,,
"What You Gonna Do Now, Girl?",,,,,,,,,,,,http://goodmusic.online/medien_title/what-you-gonna-do-now-girl/,http://goodmusic.online/medien_title/what-you-gonna-do-now-girl/,,,,,,,,,,,,,,,,,
Rene,,,,,,,,,,,,http://goodmusic.online/medien_title/rene/,http://goodmusic.online/medien_title/rene/,,,,,,,,,,,,,,,,,
She's a Heartbreaker,,,,,,,,,,,,http://goodmusic.online/medien_title/shes-a-heartbreaker/,http://goodmusic.online/medien_title/shes-a-heartbreaker/,,,,,,,,,,,,,,,,,
Got a New Direction,,,,,,,,,,,,http://goodmusic.online/medien_title/got-a-new-direction/,http://goodmusic.online/medien_title/got-a-new-direction/,,,,,,,,,,,,,,,,,
If You Were Here,,,,,,,,,,,,http://goodmusic.online/medien_title/if-you-were-here/,http://goodmusic.online/medien_title/if-you-were-here/,,,,,,,,,,,,,,,,,
Confusion,,,,,,,,,,,,http://goodmusic.online/medien_title/confusion/,http://goodmusic.online/medien_title/confusion/,,,,,,,,,,,,,,,,,
There's Something Strange About the Country,,,,,,,,,,,,http://goodmusic.online/medien_title/theres-something-strange-about-the-country/,http://goodmusic.online/medien_title/theres-something-strange-about-the-country/,,,,,,,,,,,,,,,,,
