track_name,isrc,language,publishing_company,arranger,producer,interpreter,2018-08-04,duration,apple_itunes,apple_music,deezer,amazon_music,google_play_music,Juke,microsoft,musicload,napster,qobuz,spotify,tidal,vimeo,youtube,amazon_books,apple_books,google_play_books,music_notes,notafina,note_download,sheet_music_plus,music_image
Mini-Minirock,isrc,language,publishing_company,arranger,producer,interpreter,2018-08-05,duration,apple_itunes,apple_music,deezer,http://goodmusic.online/medien_title/mini-minirock/,http://goodmusic.online/medien_title/mini-minirock/,Juke,microsoft,musicload,napster,qobuz,spotify,tidal,vimeo,youtube,amazon_books,apple_books,google_play_books,music_notes,notafina,note_download,sheet_music_plus,
"Woole, Woole Gaensjen",,,,,producer,,2018-08-06,,,,,http://goodmusic.online/medien_title/woole-woole-gaensjen/,http://goodmusic.online/medien_title/woole-woole-gaensjen/,,,,,,,,,,,,,,,,,
Ich komm lieber heut als morgen,,,,,,,2018-08-07,,,,,http://goodmusic.online/medien_title/ich-komm-lieber-heut-als-morgen/,http://goodmusic.online/medien_title/ich-komm-lieber-heut-als-morgen/,,,,,,,,,,,,,,,,,
Und der Regen singt ein Lied,,,,,,,2018-08-08,,,,,http://goodmusic.online/medien_title/und-der-regen-singt-ein-lied/,http://goodmusic.online/medien_title/und-der-regen-singt-ein-lied/,,,,,,,,,,,,,,,,,
It's Rainin',,,,,,,2018-08-09,,,,,http://goodmusic.online/medien_title/its-rainin/,http://goodmusic.online/medien_title/its-rainin/,,,,,,,,,,,,,,,,,
Tell Me How You Feel,,,,,,,2018-08-10,,,,,http://goodmusic.online/medien_title/tell-me-how-you-feel/,http://goodmusic.online/medien_title/tell-me-how-you-feel/,,,,,,,,,,,,,,,,,
"Gestern, Heute, Morgen",,,,,,,2018-08-11,,,,,http://goodmusic.online/medien_title/gestern-heute-morgen/,http://goodmusic.online/medien_title/gestern-heute-morgen/,,,,,,,,,,,,,,,,,
"Liebling, hol die Feuerwehr [L'incendie a Rio]",,,,,,,2018-08-12,,,,,http://goodmusic.online/medien_title/liebling-hol-die-feuerwehr-lincendie-a-rio/,http://goodmusic.online/medien_title/liebling-hol-die-feuerwehr-lincendie-a-rio/,,,,,,,,,,,,,,,,,
Angela,,,,,,,2018-08-13,,,,,http://goodmusic.online/medien_title/angela/,http://goodmusic.online/medien_title/angela/,,,,,,,,,,,,,,,,,
I'll Never Regret You,,,,,,,2018-08-14,,,,,http://goodmusic.online/medien_title/ill-never-regret-you/,http://goodmusic.online/medien_title/ill-never-regret-you/,,,,,,,,,,,,,,,,,
Prisoner of the Bottle,,,,,,,2018-08-15,,,,,http://goodmusic.online/medien_title/prisoner-of-the-bottle/,http://goodmusic.online/medien_title/prisoner-of-the-bottle/,,,,,,,,,,,,,,,,,
Too Young for Love,,,,,,,2018-08-16,,,,,http://goodmusic.online/medien_title/too-young-for-love/,http://goodmusic.online/medien_title/too-young-for-love/,,,,,,,,,,,,,,,,,
Hold Tight,,,,,,,2018-08-17,,,,,http://goodmusic.online/medien_title/hold-tight/,http://goodmusic.online/medien_title/hold-tight/,,,,,,,,,,,,,,,,,
With a Girl Like You,,,,,,,2018-08-18,,,,,http://goodmusic.online/medien_title/with-a-girl-like-you/,http://goodmusic.online/medien_title/with-a-girl-like-you/,,,,,,,,,,,,,,,,,
Bus Stop,,,,,,,2018-08-19,,,,,http://goodmusic.online/medien_title/bus-stop/,http://goodmusic.online/medien_title/bus-stop/,,,,,,,,,,,,,,,,,
Early Bird,,,,,,,2018-08-20,,,,,http://goodmusic.online/medien_title/early-bird/,http://goodmusic.online/medien_title/early-bird/,,,,,,,,,,,,,,,,,
Keep On Running,,,,,,,2018-08-21,,,,,http://goodmusic.online/medien_title/keep-on-running/,http://goodmusic.online/medien_title/keep-on-running/,,,,,,,,,,,,,,,,,
Keep an Eye On Summer,,,,,,,2018-08-22,,,,,http://goodmusic.online/medien_title/keep-an-eye-on-summer/,http://goodmusic.online/medien_title/keep-an-eye-on-summer/,,,,,,,,,,,,,,,,,
Hideaway,,,,,,,2018-08-23,,,,,http://goodmusic.online/medien_title/hideaway/,http://goodmusic.online/medien_title/hideaway/,,,,,,,,,,,,,,,,,
Super Girl,,,,,,,2018-08-24,,,,,http://goodmusic.online/medien_title/super-girl/,http://goodmusic.online/medien_title/super-girl/,,,,,,,,,,,,,,,,,
Wild Thing,,,,,,,2018-08-25,,,,,http://goodmusic.online/medien_title/wild-thing/,http://goodmusic.online/medien_title/wild-thing/,,,,,,,,,,,,,,,,,
Paperback Writer,,,,,,,2018-08-26,,,,,http://goodmusic.online/medien_title/paperback-writer/,http://goodmusic.online/medien_title/paperback-writer/,,,,,,,,,,,,,,,,,
Sunny Afternoon,,,,,,,2018-08-27,,,,,http://goodmusic.online/medien_title/sunny-afternoon/,http://goodmusic.online/medien_title/sunny-afternoon/,,,,,,,,,,,,,,,,,
Taxman,,,,,,,2018-08-28,,,,,http://goodmusic.online/medien_title/taxman/,http://goodmusic.online/medien_title/taxman/,,,,,,,,,,,,,,,,,
The Girls On the Beach,,,,,,,2018-08-01,,,,,http://goodmusic.online/medien_title/the-girls-on-the-beach/,http://goodmusic.online/medien_title/the-girls-on-the-beach/,,,,,,,,,,,,,,,,,
God Only Knows,,,,,,,2018-08-02,,,,,http://goodmusic.online/medien_title/god-only-knows/,http://goodmusic.online/medien_title/god-only-knows/,,,,,,,,,,,,,,,,,
Heimweh nach Santa Monica,,,,,,,2018-08-03,,,,,http://goodmusic.online/medien_title/heimweh-nach-santa-monica/,http://goodmusic.online/medien_title/heimweh-nach-santa-monica/,,,,,,,,,,,,,,,,,
"Wenn du nicht weisst, was Tränen sind",,,,,,,2018-08-04,,,,,http://goodmusic.online/medien_title/wenn-du-nicht-weisst-was-traenen-sind/,http://goodmusic.online/medien_title/wenn-du-nicht-weisst-was-traenen-sind/,,,,,,,,,,,,,,,,,
Nicht für Kuchen oder Torte,,,,,,,2018-08-05,,,,,http://goodmusic.online/medien_title/nicht-fuer-kuchen-oder-torte/,http://goodmusic.online/medien_title/nicht-fuer-kuchen-oder-torte/,,,,,,,,,,,,,,,,,
Bazazz [Bazazz Beat],,,,,,,2018-08-06,,,,,http://goodmusic.online/medien_title/bazazz-bazazz-beat/,http://goodmusic.online/medien_title/bazazz-bazazz-beat/,,,,,,,,,,,,,,,,,
Main Theme from 'Django',,,,,,,2018-08-07,,,,,http://goodmusic.online/medien_title/main-theme-from-django/,http://goodmusic.online/medien_title/main-theme-from-django/,,,,,,,,,,,,,,,,,
New Sheriff in Old Silver City,,,,,,,2018-08-08,,,,,http://goodmusic.online/medien_title/new-sheriff-in-old-silver-city/,http://goodmusic.online/medien_title/new-sheriff-in-old-silver-city/,,,,,,,,,,,,,,,,,
Fat Man,,,,,,,2018-08-09,,,,,http://goodmusic.online/medien_title/fat-man/,http://goodmusic.online/medien_title/fat-man/,,,,,,,,,,,,,,,,,
